,代碼,10日均量,60日高點,月營收YoY,投信連買天數
677,3019,915,69.2,5.95,0
678,3021,277,26.0,12.65,0
679,3022,781,85.0,-31.34,0
680,3023,872,286.0,-3.15,0
681,3024,2916,19.05,-33.46,0
682,3025,2852,80.3,-43.87,0
683,3026,164,97.8,-13.94,0
684,3027,7449,48.55,47.34,0
685,3028,706,37.0,13.09,1
686,3029,2362,78.8,26.13,1
687,3030,3071,100.0,1.23,3
688,3031,399,20.55,-28.49,0
689,3032,5010,85.4,-15.22,0
690,3033,4916,33.9,12.26,0
691,3034,4531,630.0,-6.6,41
692,3035,6515,455.0,-23.88,2
693,3036,21957,175.5,72.03,0
694,3037,12646,200.0,2.74,0
695,3293,1464,1165.0,31.81,0
696,3294,10848,58.5,20.24,0
697,3296,1428,26.6,2.88,0
698,3297,274,24.5,17.51,0
699,3303,337,34.95,10.14,0
700,3305,2421,78.0,-0.76,0
701,3306,1518,58.7,-6.82,0
702,3308,393,39.3,-91.3,0
703,3310,61,111.0,-18.45,0
704,3311,149,43.95,8.41,0
705,3312,17729,51.5,19.77,0
706,3313,801,28.0,-81.76,0
707,3317,198,57.5,-13.84,0
708,3321,792,21.0,31.56,0
709,3322,1790,27.85,-8.74,0
710,3323,169,28.9,-41.69,0
711,3324,11027,865.0,-16.71,1
712,3325,1666,42.5,-18.31,0
713,3332,44,45.0,-25.32,0
714,3338,2592,76.1,14.53,0
715,3339,6067,41.3,10.86,0
716,3346,1719,51.9,-18.69,0
717,3349,11,28.6,51.95,0
718,3354,1059,31.55,49.2,0
719,3356,2482,56.9,13.51,0
720,3357,378,127.5,4.8,0
721,3360,1777,22.35,-58.26,0
722,3362,2103,285.0,-5.34,0
723,3363,9657,133.5,-15.74,1
724,3372,3261,24.4,22.04,0
725,3373,123,28.35,-7.88,0
726,3374,1432,135.5,-4.23,0
727,3376,5580,224.0,53.45,0
728,3379,74,15.85,0.35,0
729,3380,1797,39.25,-34.77,0
730,3388,118,79.6,0.13,0
731,3390,1059,38.5,-8.16,0
732,3402,4718,121.5,40.07,0
733,3406,1791,509.0,86.32,1
734,3413,1901,314.0,-3.2,1
735,3416,574,155.0,-1.32,1
736,3419,295,18.1,18.72,0
737,3426,29,46.3,38.8,0
738,3430,318,51.5,44.39,0
739,3432,341,20.8,11.77,0
740,3434,118,34.5,-1.74,0
741,3437,1433,38.65,-0.83,0
742,3438,488,93.5,-9.9,0
743,3441,316,39.45,1.3,0
744,3443,3258,1860.0,-0.03,1
745,3444,1465,132.0,13.91,0
746,3447,46,38.8,-60.72,0
747,3450,10066,79.8,10.99,0
748,3454,212,159.0,-11.65,0
749,3455,743,87.8,-11.58,0
750,3465,37,80.7,-29.67,0
751,3466,2647,40.2,-95.04,0
752,3479,739,129.0,-34.82,1
753,3481,92036,17.0,14.97,0
754,3483,1372,182.5,-3.58,0
755,3484,962,53.7,12.11,0
756,3489,882,27.15,-36.11,0
757,3490,4660,35.7,-39.57,0
758,3491,1938,180.5,2.31,0
759,3492,69,21.9,22.39,0
760,3494,119,7.05,3.59,0
761,3498,730,41.8,-86.39,0
762,3499,641,25.15,-36.06,0
763,3501,592,60.6,5.13,0
764,3504,514,74.0,-28.81,0
765,3508,181,28.2,-40.32,0
766,3511,76,28.3,-43.47,0
767,3512,1132,38.05,-49.8,0
768,3515,916,308.5,-2.02,0
769,3516,460,33.7,16.47,0
770,3518,224,36.25,-6.09,0
771,3520,294,21.45,-15.39,0
772,3521,566,24.6,144.2,0
773,3522,331,21.2,38.21,0
774,3523,252,20.1,27.02,0
