,代碼,10日均量,60日高點,月營收YoY,投信連買天數
709,1802,4047,18.8,-10.59,0
710,1805,908,20.8,-17.24,0
711,1806,568,12.8,9.36,0
712,1808,3858,129.5,-45.49,0
713,1809,2758,35.7,-1.08,0
714,1810,9906,21.75,-2.6,0
715,1813,52,20.9,-26.44,0
716,1815,12375,21.5,-8.61,0
717,1817,293,38.2,-11.9,0
718,1903,501,60.9,-15.47,0
719,1904,1013,29.35,-5.15,0
720,1905,3869,24.0,-6.98,0
721,1906,170,15.85,3.18,0
722,1907,1377,31.45,-4.67,0
723,1909,2030,15.2,-5.11,0
724,2002,43688,26.05,-2.92,1
725,2006,2797,78.7,0.67,0
726,2007,3610,12.2,17.21,0
727,2008,68,23.3,4.09,0
728,2009,30397,51.8,-9.79,0
729,2010,3554,21.9,0.19,0
730,2012,133,24.4,-3.87,0
731,2013,1341,65.6,1.53,0
732,2014,21000,24.95,-19.35,0
733,2015,671,73.3,-13.39,0
734,2017,1880,15.55,6.99,0
735,2020,1845,39.55,-18.53,1
736,2022,2906,12.75,-21.58,0
737,2023,4230,16.65,-7.92,0
738,2024,20,23.5,2.49,0
739,2027,10697,37.8,-25.67,0
740,2028,2550,29.6,-31.35,0
741,2029,765,30.85,-0.16,0
742,2030,1036,19.25,-13.94,0
743,2031,3071,66.8,-28.03,0
744,2032,1944,18.75,-6.03,0
745,2033,929,18.3,-17.35,0
746,2034,519,27.0,-24.68,0
747,2035,25,33.65,-19.24,0
748,2038,3862,21.9,-9.8,0
749,2049,2806,284.0,-12.23,0
750,2059,1462,1470.0,68.41,0
751,2061,956,24.4,9.8,0
752,2062,929,30.8,-3.01,0
753,2063,128,56.3,26.23,0
754,2064,50,16.6,-6.55,0
755,2065,108,66.6,-14.02,0
756,2066,2603,129.0,0.81,0
757,2067,38,13.25,-23.75,0
758,2069,339,16.95,-6.44,0
759,2070,88,41.35,-8.24,0
760,2073,28,30.75,-3.86,0
761,2101,13274,47.5,17.58,0
762,2102,471,18.95,-76.51,0
763,2103,2346,24.7,-0.6,6
764,2104,1347,18.95,-5.06,0
765,2105,4281,50.0,-6.88,0
766,2106,1505,34.1,-1.84,0
767,2107,628,25.55,-29.61,0
768,2108,337,36.65,6.41,0
769,2109,1874,17.95,-9.87,0
770,2114,40,111.0,-4.43,0
771,2115,180,31.0,31.96,0
772,2201,5379,72.2,5.71,0
773,2204,4437,147.5,29.08,0
774,2206,4584,78.2,-1.02,1
775,2207,310,675.0,-6.81,0
